id,created_at,data
2634,2026-02-11T10:13:08.703Z,"{""createdAt"":""2026-02-11T10:13:08.703Z"",""source"":{""file"":""remote:20260211013557"",""sessionId"":""20260211013557"",""sampleIndex"":87,""shownCount"":1},""snapshot_meta"":{""session"":{""id"":""20260211013557"",""createdAt"":""2026-02-11T00:35:57.360Z"",""protocolVersion"":2,""rows"":20,""cols"":10,""settings"":{""game"":{""gravityMs"":800,""softDropMs"":0,""lockDelayMs"":500,""hardLockDelayMs"":2000},""generator"":{""type"":""ml"",""ml"":{""strategy"":""threshold"",""temperature"":1.5,""threshold"":0.1}}},""mode"":{""id"":""classic"",""options"":{}},""buildVersion"":""0.2.3"",""model_url"":""/models/model_v2.json"",""device_id"":""6bf0d205-0327-4af0-93ac-f09bec0d9c20""},""sample"":{""index"":87,""timeMs"":82829,""trigger"":""lock"",""level"":2,""score"":13380}},""board"":""0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/6000000000/6662200000/3332276000/1357776660/1555227770/1555227770/1356111170/7336665570/7311114550/7744554460/6445555460/6663556660/7773366660/7553666610"",""hold"":null,""labels"":[""I"",""Z"",""O"",""J"",""T""],""label_context"":{""playstyle"":""beginner""}}"
2635,2026-02-11T10:13:17.119Z,"{""createdAt"":""2026-02-11T10:13:17.119Z"",""source"":{""file"":""remote:20260211023737"",""sessionId"":""20260211023737"",""sampleIndex"":417,""shownCount"":1},""snapshot_meta"":{""session"":{""id"":""20260211023737"",""createdAt"":""2026-02-11T01:37:37.331Z"",""protocolVersion"":2,""rows"":20,""cols"":10,""settings"":{""game"":{""gravityMs"":800,""softDropMs"":0,""lockDelayMs"":500,""hardLockDelayMs"":2000},""generator"":{""type"":""ml"",""ml"":{""strategy"":""threshold"",""temperature"":1.5,""threshold"":0.1}}},""mode"":{""id"":""practice"",""options"":{}},""buildVersion"":""0.2.3"",""model_url"":""/models/model_v2.json"",""device_id"":""6bf0d205-0327-4af0-93ac-f09bec0d9c20""},""sample"":{""index"":417,""timeMs"":386260,""trigger"":""lock"",""level"":0,""score"":0}},""board"":""0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000"",""hold"":""S"",""labels"":[""T"",""J"",""L"",""O"",""I""],""label_context"":{""playstyle"":""beginner""}}"
2636,2026-02-11T10:13:33.869Z,"{""createdAt"":""2026-02-11T10:13:33.869Z"",""source"":{""file"":""remote:20260211023737"",""sessionId"":""20260211023737"",""sampleIndex"":803,""shownCount"":1},""snapshot_meta"":{""session"":{""id"":""20260211023737"",""createdAt"":""2026-02-11T01:37:37.331Z"",""protocolVersion"":2,""rows"":20,""cols"":10,""settings"":{""game"":{""gravityMs"":800,""softDropMs"":0,""lockDelayMs"":500,""hardLockDelayMs"":2000},""generator"":{""type"":""ml"",""ml"":{""strategy"":""threshold"",""temperature"":1.5,""threshold"":0.1}}},""mode"":{""id"":""practice"",""options"":{}},""buildVersion"":""0.2.3"",""model_url"":""/models/model_v2.json"",""device_id"":""6bf0d205-0327-4af0-93ac-f09bec0d9c20""},""sample"":{""index"":803,""timeMs"":713683,""trigger"":""lock"",""level"":0,""score"":0}},""board"":""0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/6660500000/5565544600/6667226660/5544554470"",""hold"":""I"",""labels"":[""T"",""L"",""I"",""O"",""Z"",""J""],""label_context"":{""playstyle"":""beginner""}}"
2637,2026-02-11T10:13:34.269Z,"{""createdAt"":""2026-02-11T10:13:34.269Z"",""source"":{""file"":""remote:20260211023737"",""sessionId"":""20260211023737"",""sampleIndex"":901,""shownCount"":1},""snapshot_meta"":{""session"":{""id"":""20260211023737"",""createdAt"":""2026-02-11T01:37:37.331Z"",""protocolVersion"":2,""rows"":20,""cols"":10,""settings"":{""game"":{""gravityMs"":800,""softDropMs"":0,""lockDelayMs"":500,""hardLockDelayMs"":2000},""generator"":{""type"":""ml"",""ml"":{""strategy"":""threshold"",""temperature"":1.5,""threshold"":0.1}}},""mode"":{""id"":""practice"",""options"":{}},""buildVersion"":""0.2.3"",""model_url"":""/models/model_v2.json"",""device_id"":""6bf0d205-0327-4af0-93ac-f09bec0d9c20""},""sample"":{""index"":901,""timeMs"":797502,""trigger"":""lock"",""level"":0,""score"":0}},""board"":""0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0004400000/0744700000/0777722000/3772222220/3362266220/3566666660/5522662210"",""hold"":""S"",""labels"":[],""label_context"":{""playstyle"":""beginner""}}"
2638,2026-02-11T10:13:45.936Z,"{""createdAt"":""2026-02-11T10:13:45.936Z"",""source"":{""file"":""remote:20260211013557"",""sessionId"":""20260211013557"",""sampleIndex"":21,""shownCount"":1},""snapshot_meta"":{""session"":{""id"":""20260211013557"",""createdAt"":""2026-02-11T00:35:57.360Z"",""protocolVersion"":2,""rows"":20,""cols"":10,""settings"":{""game"":{""gravityMs"":800,""softDropMs"":0,""lockDelayMs"":500,""hardLockDelayMs"":2000},""generator"":{""type"":""ml"",""ml"":{""strategy"":""threshold"",""temperature"":1.5,""threshold"":0.1}}},""mode"":{""id"":""classic"",""options"":{}},""buildVersion"":""0.2.3"",""model_url"":""/models/model_v2.json"",""device_id"":""6bf0d205-0327-4af0-93ac-f09bec0d9c20""},""sample"":{""index"":21,""timeMs"":23560,""trigger"":""lock"",""level"":0,""score"":140}},""board"":""0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0022300000/0522332200/5522352200/5522552200/5544572200/5447777700/2277777700/2276227700"",""hold"":null,""labels"":[""I"",""T"",""O"",""J"",""L"",""Z""],""label_context"":{""playstyle"":""beginner""}}"
2639,2026-02-11T10:13:56.735Z,"{""createdAt"":""2026-02-11T10:13:56.735Z"",""source"":{""file"":""remote:20260211023737"",""sessionId"":""20260211023737"",""sampleIndex"":950,""shownCount"":1},""snapshot_meta"":{""session"":{""id"":""20260211023737"",""createdAt"":""2026-02-11T01:37:37.331Z"",""protocolVersion"":2,""rows"":20,""cols"":10,""settings"":{""game"":{""gravityMs"":800,""softDropMs"":0,""lockDelayMs"":500,""hardLockDelayMs"":2000},""generator"":{""type"":""ml"",""ml"":{""strategy"":""threshold"",""temperature"":1.5,""threshold"":0.1}}},""mode"":{""id"":""practice"",""options"":{}},""buildVersion"":""0.2.3"",""model_url"":""/models/model_v2.json"",""device_id"":""6bf0d205-0327-4af0-93ac-f09bec0d9c20""},""sample"":{""index"":950,""timeMs"":841687,""trigger"":""lock"",""level"":0,""score"":0}},""board"":""0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/1000000000/1000000000/1000000000/1000000000/1000000000/1777000000/1744060000/1445566660/1111554460/2222644660/2222611110/7776676660/7447775560"",""hold"":""T"",""labels"":[""T"",""Z"",""L"",""J"",""O"",""I""],""label_context"":{""playstyle"":""beginner""}}"
2640,2026-02-11T10:14:02.369Z,"{""createdAt"":""2026-02-11T10:14:02.369Z"",""source"":{""file"":""remote:20260211013557"",""sessionId"":""20260211013557"",""sampleIndex"":1092,""shownCount"":1},""snapshot_meta"":{""session"":{""id"":""20260211013557"",""createdAt"":""2026-02-11T00:35:57.360Z"",""protocolVersion"":2,""rows"":20,""cols"":10,""settings"":{""game"":{""gravityMs"":800,""softDropMs"":0,""lockDelayMs"":500,""hardLockDelayMs"":2000},""generator"":{""type"":""ml"",""ml"":{""strategy"":""threshold"",""temperature"":1.5,""threshold"":0.1}}},""mode"":{""id"":""classic"",""options"":{}},""buildVersion"":""0.2.3"",""model_url"":""/models/model_v2.json"",""device_id"":""6bf0d205-0327-4af0-93ac-f09bec0d9c20""},""sample"":{""index"":1092,""timeMs"":955917,""trigger"":""lock"",""level"":42,""score"":1202460}},""board"":""0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0005500000/0060550000/0066630000/2200331111/2266635000/7770655777/7666654700/7556666407"",""hold"":""J"",""labels"":[""O"",""I""],""label_context"":{""playstyle"":""beginner""}}"
2641,2026-02-11T10:14:21.802Z,"{""createdAt"":""2026-02-11T10:14:21.802Z"",""source"":{""file"":""remote:20260211023737"",""sessionId"":""20260211023737"",""sampleIndex"":247,""shownCount"":1},""snapshot_meta"":{""session"":{""id"":""20260211023737"",""createdAt"":""2026-02-11T01:37:37.331Z"",""protocolVersion"":2,""rows"":20,""cols"":10,""settings"":{""game"":{""gravityMs"":800,""softDropMs"":0,""lockDelayMs"":500,""hardLockDelayMs"":2000},""generator"":{""type"":""ml"",""ml"":{""strategy"":""threshold"",""temperature"":1.5,""threshold"":0.1}}},""mode"":{""id"":""practice"",""options"":{}},""buildVersion"":""0.2.3"",""model_url"":""/models/model_v2.json"",""device_id"":""6bf0d205-0327-4af0-93ac-f09bec0d9c20""},""sample"":{""index"":247,""timeMs"":232306,""trigger"":""lock"",""level"":0,""score"":0}},""board"":""0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/7446622220/4466622220"",""hold"":""Z"",""labels"":[""L"",""O"",""I"",""J"",""T""],""label_context"":{""playstyle"":""beginner""}}"
2642,2026-02-11T10:14:25.119Z,"{""createdAt"":""2026-02-11T10:14:25.119Z"",""source"":{""file"":""remote:20260211023326"",""sessionId"":""20260211023326"",""sampleIndex"":195,""shownCount"":1},""snapshot_meta"":{""session"":{""id"":""20260211023326"",""createdAt"":""2026-02-11T01:33:26.069Z"",""protocolVersion"":2,""rows"":20,""cols"":10,""settings"":{""game"":{""gravityMs"":800,""softDropMs"":0,""lockDelayMs"":500,""hardLockDelayMs"":2000},""generator"":{""type"":""ml"",""ml"":{""strategy"":""threshold"",""temperature"":1.5,""threshold"":0.1}}},""mode"":{""id"":""practice"",""options"":{}},""buildVersion"":""0.2.3"",""model_url"":""/models/model_v2.json"",""device_id"":""6bf0d205-0327-4af0-93ac-f09bec0d9c20""},""sample"":{""index"":195,""timeMs"":171213,""trigger"":""manual""}},""board"":""0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000770/7775500370/7333553370/7437770340"",""hold"":""Z"",""labels"":[""I""],""label_context"":{""playstyle"":""beginner""}}"
2643,2026-02-11T10:14:34.269Z,"{""createdAt"":""2026-02-11T10:14:34.269Z"",""source"":{""file"":""remote:20260211013557"",""sessionId"":""20260211013557"",""sampleIndex"":943,""shownCount"":1},""snapshot_meta"":{""session"":{""id"":""20260211013557"",""createdAt"":""2026-02-11T00:35:57.360Z"",""protocolVersion"":2,""rows"":20,""cols"":10,""settings"":{""game"":{""gravityMs"":800,""softDropMs"":0,""lockDelayMs"":500,""hardLockDelayMs"":2000},""generator"":{""type"":""ml"",""ml"":{""strategy"":""threshold"",""temperature"":1.5,""threshold"":0.1}}},""mode"":{""id"":""classic"",""options"":{}},""buildVersion"":""0.2.3"",""model_url"":""/models/model_v2.json"",""device_id"":""6bf0d205-0327-4af0-93ac-f09bec0d9c20""},""sample"":{""index"":943,""timeMs"":823897,""trigger"":""lock"",""level"":36,""score"":973800}},""board"":""0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/6000000000/6660440000/7774460770/7444466670/4444366670"",""hold"":""Z"",""labels"":[""L"",""J"",""T"",""Z""],""label_context"":{""playstyle"":""beginner""}}"
2644,2026-02-11T10:14:44.352Z,"{""createdAt"":""2026-02-11T10:14:44.352Z"",""source"":{""file"":""remote:20260211013557"",""sessionId"":""20260211013557"",""sampleIndex"":752,""shownCount"":1},""snapshot_meta"":{""session"":{""id"":""20260211013557"",""createdAt"":""2026-02-11T00:35:57.360Z"",""protocolVersion"":2,""rows"":20,""cols"":10,""settings"":{""game"":{""gravityMs"":800,""softDropMs"":0,""lockDelayMs"":500,""hardLockDelayMs"":2000},""generator"":{""type"":""ml"",""ml"":{""strategy"":""threshold"",""temperature"":1.5,""threshold"":0.1}}},""mode"":{""id"":""classic"",""options"":{}},""buildVersion"":""0.2.3"",""model_url"":""/models/model_v2.json"",""device_id"":""6bf0d205-0327-4af0-93ac-f09bec0d9c20""},""sample"":{""index"":752,""timeMs"":628675,""trigger"":""lock"",""level"":29,""score"":768840}},""board"":""0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0300000022/7703557666"",""hold"":""S"",""labels"":[""L"",""T"",""S"",""I"",""O""],""label_context"":{""playstyle"":""beginner""}}"
2645,2026-02-11T10:14:53.534Z,"{""createdAt"":""2026-02-11T10:14:53.534Z"",""source"":{""file"":""remote:20260211023326"",""sessionId"":""20260211023326"",""sampleIndex"":73,""shownCount"":1},""snapshot_meta"":{""session"":{""id"":""20260211023326"",""createdAt"":""2026-02-11T01:33:26.069Z"",""protocolVersion"":2,""rows"":20,""cols"":10,""settings"":{""game"":{""gravityMs"":800,""softDropMs"":0,""lockDelayMs"":500,""hardLockDelayMs"":2000},""generator"":{""type"":""ml"",""ml"":{""strategy"":""threshold"",""temperature"":1.5,""threshold"":0.1}}},""mode"":{""id"":""practice"",""options"":{}},""buildVersion"":""0.2.3"",""model_url"":""/models/model_v2.json"",""device_id"":""6bf0d205-0327-4af0-93ac-f09bec0d9c20""},""sample"":{""index"":73,""timeMs"":64397,""trigger"":""lock"",""level"":0,""score"":0}},""board"":""0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000044000/6664444430/2264444330/2244477730/6442272260/6662252260/1111556660"",""hold"":null,""labels"":[""I"",""O"",""S"",""J"",""Z"",""T"",""L""],""label_context"":{""playstyle"":""beginner""}}"
2646,2026-02-11T10:15:09.435Z,"{""createdAt"":""2026-02-11T10:15:09.435Z"",""source"":{""file"":""remote:20260211013557"",""sessionId"":""20260211013557"",""sampleIndex"":1115,""shownCount"":1},""snapshot_meta"":{""session"":{""id"":""20260211013557"",""createdAt"":""2026-02-11T00:35:57.360Z"",""protocolVersion"":2,""rows"":20,""cols"":10,""settings"":{""game"":{""gravityMs"":800,""softDropMs"":0,""lockDelayMs"":500,""hardLockDelayMs"":2000},""generator"":{""type"":""ml"",""ml"":{""strategy"":""threshold"",""temperature"":1.5,""threshold"":0.1}}},""mode"":{""id"":""classic"",""options"":{}},""buildVersion"":""0.2.3"",""model_url"":""/models/model_v2.json"",""device_id"":""6bf0d205-0327-4af0-93ac-f09bec0d9c20""},""sample"":{""index"":1115,""timeMs"":977967,""trigger"":""lock"",""level"":43,""score"":1218840}},""board"":""0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/1000000000/1000002270/1661602270/1601666677/7770655777/7666654700/7556666407"",""hold"":""T"",""labels"":[""S"",""T"",""L"",""I"",""J""],""label_context"":{""playstyle"":""beginner""}}"
